intern_group_id	display_order	intern_group_name	company_id	kanri_dantai_ki_id	company_ki_id	display_progress_flg
1	1	2陣	2	0	0	1
2	2	1陣	2	0	0	1
3	3	1陣	5	0	0	1
4	4	2陣	5	0	0	1
5	5	4陣	2	0	0	1
6	6	3陣	2	0	0	1
7	7	5陣	2	0	0	1
8	8	1陣	3	0	0	1
9	9	1陣	4	0	0	1
10	10	2陣	4	0	0	1
13	13	1陣	7	0	0	1
14	14	2陣	7	0	0	1
15	15	1陣	6	0	0	1
16	16	1陣	8	0	0	1
17	17	1陣	9	0	0	1
18	18	1陣	10	0	0	1
22	19	1陣	12	0	0	1
23	20	1陣	11	0	0	1
24	21	2陣	6	0	0	1
